trip_id_num attr_name attr_value
1 seated_capacity 5.0
1 standing_capacity 5.0
1 max_speed 25.0
1 acceleration 3.4
1 deceleration 4.0
1 capacity 10.0
1 max_speed_fps 36.6666666667
1 mode_num 301.0
1 route_id_num 3.0
2 seated_capacity 5.0
2 standing_capacity 5.0
2 max_speed 25.0
2 acceleration 3.4
2 deceleration 4.0
2 capacity 10.0
2 max_speed_fps 36.6666666667
2 mode_num 301.0
2 route_id_num 3.0
3 seated_capacity 5.0
3 standing_capacity 5.0
3 max_speed 25.0
3 acceleration 3.4
3 deceleration 4.0
3 capacity 10.0
3 max_speed_fps 36.6666666667
3 mode_num 301.0
3 route_id_num 3.0
4 seated_capacity 5.0
4 standing_capacity 5.0
4 max_speed 25.0
4 acceleration 3.4
4 deceleration 4.0
4 capacity 10.0
4 max_speed_fps 36.6666666667
4 mode_num 301.0
4 route_id_num 3.0
5 seated_capacity 5.0
5 standing_capacity 5.0
5 max_speed 25.0
5 acceleration 3.4
5 deceleration 4.0
5 capacity 10.0
5 max_speed_fps 36.6666666667
5 mode_num 301.0
5 route_id_num 4.0
6 seated_capacity 5.0
6 standing_capacity 5.0
6 max_speed 25.0
6 acceleration 3.4
6 deceleration 4.0
6 capacity 10.0
6 max_speed_fps 36.6666666667
6 mode_num 301.0
6 route_id_num 1.0
7 seated_capacity 5.0
7 standing_capacity 5.0
7 max_speed 25.0
7 acceleration 3.4
7 deceleration 4.0
7 capacity 10.0
7 max_speed_fps 36.6666666667
7 mode_num 301.0
7 route_id_num 1.0
8 seated_capacity 5.0
8 standing_capacity 5.0
8 max_speed 25.0
8 acceleration 3.4
8 deceleration 4.0
8 capacity 10.0
8 max_speed_fps 36.6666666667
8 mode_num 301.0
8 route_id_num 1.0
9 seated_capacity 5.0
9 standing_capacity 5.0
9 max_speed 25.0
9 acceleration 3.4
9 deceleration 4.0
9 capacity 10.0
9 max_speed_fps 36.6666666667
9 mode_num 301.0
9 route_id_num 2.0
10 seated_capacity 5.0
10 standing_capacity 5.0
10 max_speed 25.0
10 acceleration 3.4
10 deceleration 4.0
10 capacity 10.0
10 max_speed_fps 36.6666666667
10 mode_num 301.0
10 route_id_num 4.0
