person_id	person_trip_id	originTaz	destinationTaz	startTime	endTime	arrivalTimes	boardingTimes	alightingTimes
Anthony Grundy	1	O	D	07:00:00	07:30:00	07:04:00,07:18:00	07:04:00,07:18:00	07:12:00,07:24:00
Antown Jamison	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Archie Miller	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Bobby Hurley	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Carlos Boozer	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Christian Laettner	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Dante Calabria	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Dean Smith	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Grant Hill	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Illian Evtimov	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Jeff Capel	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Jerry Stackhouse	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Josh Powell	1	O	D	07:00:00	07:30:00	07:04:00,07:18:00	07:04:00,07:18:00	07:12:00,07:24:00
Julius Hodge	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Marcus Melvin	1	O	D	07:00:00	07:30:00	07:04:00,07:18:00	07:04:00,07:18:00	07:12:00,07:24:00
Michael Jordan	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Mike K.	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Mrs. Wuf	1	O	D	07:06:00	07:36:00	07:10:00,07:26:00	07:10:00,07:26:00	07:18:00,07:34:00
Rameses	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Scooter Sherrill	1	O	D	07:00:00	07:30:00	07:04:00,07:18:00	07:04:00,07:18:00	07:12:00,07:24:00
Serge Zwikker	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Shammond Williams	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Tuffie	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
Vince Carter	1	O	D	07:08:00	07:32:00	07:10:00	07:10:00	07:22:00
