person_id,person_trip_id,trip_list_id_num,trace,pathdir,pathmode,pf_iteration,pathnum,pf_cost,pf_fare,pf_probability,pf_initcost,pf_initfare,description,chosen,bump_iter,missed_xfer,sim_cost,ln_PS,logsum_component,logsum,probability,iteration,pathfinding_iteration,simulation_iteration
Tuffie,1,1,True,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,24.0000000000,0.0000000000,0.0000061442,0.0000061442,1.0000000000,1,1,2
Rameses,1,2,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Michael Jordan,1,3,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Jerry Stackhouse,1,4,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Dean Smith,1,5,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Vince Carter,1,6,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Antown Jamison,1,7,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Serge Zwikker,1,8,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Dante Calabria,1,9,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Shammond Williams,1,10,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,1,2
Mrs. Wuf,1,11,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Marcus Melvin,1,12,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Archie Miller,1,13,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Julius Hodge,1,14,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Illian Evtimov,1,15,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Scooter Sherrill,1,16,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Josh Powell,1,17,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Anthony Grundy,1,18,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Mike K.,1,19,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Jeff Capel,1,20,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Grant Hill,1,21,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Bobby Hurley,1,22,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Christian Laettner,1,23,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Carlos Boozer,1,24,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Jayson Williams,1,25,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Shane Battier,1,26,False,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,rejected,0.0000000000,0,59994.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,1,2
Tuffie,1,1,True,2,transit,1.0100000000,0,24.0000000000,0.0000000000,1.0000000000,24.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,24.0000000000,0.0000000000,0.0000061442,0.0000061442,1.0000000000,1,2,2
Rameses,1,2,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Michael Jordan,1,3,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Jerry Stackhouse,1,4,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Dean Smith,1,5,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Vince Carter,1,6,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Antown Jamison,1,7,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
